library_id	r1_stem	r2_stem
ERR1018185	ERR1018185_1	ERR1018185_2
ERR1018186	ERR1018186_1	ERR1018186_2
ERR1018187	ERR1018187_1	ERR1018187_2
ERR1018188	ERR1018188_1	ERR1018188_2
ERR1018189	ERR1018189_1	ERR1018189_2
ERR1018190	ERR1018190_1	ERR1018190_2
ERR1018191	ERR1018191_1	ERR1018191_2
ERR1018192	ERR1018192_1	ERR1018192_2
ERR1018193	ERR1018193_1	ERR1018193_2
ERR1018194	ERR1018194_1	ERR1018194_2
ERR1018195	ERR1018195_1	ERR1018195_2
ERR1018196	ERR1018196_1	ERR1018196_2
ERR1018197	ERR1018197_1	ERR1018197_2
ERR1018198	ERR1018198_1	ERR1018198_2
ERR1018199	ERR1018199_1	ERR1018199_2
ERR1018200	ERR1018200_1	ERR1018200_2
ERR1018201	ERR1018201_1	ERR1018201_2
ERR1018202	ERR1018202_1	ERR1018202_2
ERR1018203	ERR1018203_1	ERR1018203_2
ERR1018204	ERR1018204_1	ERR1018204_2
ERR1018205	ERR1018205_1	ERR1018205_2
ERR1018206	ERR1018206_1	ERR1018206_2
ERR1018207	ERR1018207_1	ERR1018207_2
ERR1018208	ERR1018208_1	ERR1018208_2
ERR1018209	ERR1018209_1	ERR1018209_2
ERR1018210	ERR1018210_1	ERR1018210_2
ERR1018211	ERR1018211_1	ERR1018211_2
ERR1018212	ERR1018212_1	ERR1018212_2
ERR1018213	ERR1018213_1	ERR1018213_2
ERR1018214	ERR1018214_1	ERR1018214_2
ERR1018215	ERR1018215_1	ERR1018215_2
ERR1018216	ERR1018216_1	ERR1018216_2
ERR1018217	ERR1018217_1	ERR1018217_2
ERR1018218	ERR1018218_1	ERR1018218_2
ERR1018219	ERR1018219_1	ERR1018219_2
ERR1018220	ERR1018220_1	ERR1018220_2
ERR1018221	ERR1018221_1	ERR1018221_2
ERR1018222	ERR1018222_1	ERR1018222_2
ERR1018223	ERR1018223_1	ERR1018223_2
ERR1018224	ERR1018224_1	ERR1018224_2
ERR1018225	ERR1018225_1	ERR1018225_2
ERR1018226	ERR1018226_1	ERR1018226_2
ERR1018227	ERR1018227_1	ERR1018227_2
ERR1018228	ERR1018228_1	ERR1018228_2
ERR1018229	ERR1018229_1	ERR1018229_2
ERR1018230	ERR1018230_1	ERR1018230_2
ERR1018231	ERR1018231_1	ERR1018231_2
ERR1018232	ERR1018232_1	ERR1018232_2
ERR1018233	ERR1018233_1	ERR1018233_2
ERR1018234	ERR1018234_1	ERR1018234_2
ERR1018235	ERR1018235_1	ERR1018235_2
ERR1018236	ERR1018236_1	ERR1018236_2
ERR1018237	ERR1018237_1	ERR1018237_2
ERR1018238	ERR1018238_1	ERR1018238_2
ERR1018239	ERR1018239_1	ERR1018239_2
ERR1018240	ERR1018240_1	ERR1018240_2
ERR1018241	ERR1018241_1	ERR1018241_2
ERR1018242	ERR1018242_1	ERR1018242_2
ERR1018243	ERR1018243_1	ERR1018243_2
ERR1018244	ERR1018244_1	ERR1018244_2
ERR1018245	ERR1018245_1	ERR1018245_2
ERR1018246	ERR1018246_1	ERR1018246_2
ERR1018247	ERR1018247_1	ERR1018247_2
ERR1018248	ERR1018248_1	ERR1018248_2
ERR1018249	ERR1018249_1	ERR1018249_2
ERR1018250	ERR1018250_1	ERR1018250_2
ERR1018251	ERR1018251_1	ERR1018251_2
ERR1018252	ERR1018252_1	ERR1018252_2
ERR1018253	ERR1018253_1	ERR1018253_2
ERR1018254	ERR1018254_1	ERR1018254_2
ERR1018255	ERR1018255_1	ERR1018255_2
ERR1018256	ERR1018256_1	ERR1018256_2
ERR1018257	ERR1018257_1	ERR1018257_2
ERR1018258	ERR1018258_1	ERR1018258_2
ERR1018259	ERR1018259_1	ERR1018259_2
ERR1018260	ERR1018260_1	ERR1018260_2
ERR1018261	ERR1018261_1	ERR1018261_2
ERR1018262	ERR1018262_1	ERR1018262_2
ERR1018263	ERR1018263_1	ERR1018263_2
ERR1018264	ERR1018264_1	ERR1018264_2
ERR1018265	ERR1018265_1	ERR1018265_2
ERR1018266	ERR1018266_1	ERR1018266_2
ERR1018267	ERR1018267_1	ERR1018267_2
ERR1018268	ERR1018268_1	ERR1018268_2
ERR1018269	ERR1018269_1	ERR1018269_2
ERR1018270	ERR1018270_1	ERR1018270_2
ERR1018271	ERR1018271_1	ERR1018271_2
ERR1018272	ERR1018272_1	ERR1018272_2
ERR1018273	ERR1018273_1	ERR1018273_2
ERR1018274	ERR1018274_1	ERR1018274_2
ERR1018275	ERR1018275_1	ERR1018275_2
ERR1018276	ERR1018276_1	ERR1018276_2
ERR1018277	ERR1018277_1	ERR1018277_2
ERR1018278	ERR1018278_1	ERR1018278_2
ERR1018279	ERR1018279_1	ERR1018279_2
ERR1018280	ERR1018280_1	ERR1018280_2
ERR1018281	ERR1018281_1	ERR1018281_2
ERR1018282	ERR1018282_1	ERR1018282_2
ERR1018283	ERR1018283_1	ERR1018283_2
ERR1018284	ERR1018284_1	ERR1018284_2
ERR1018285	ERR1018285_1	ERR1018285_2
ERR1018286	ERR1018286_1	ERR1018286_2
ERR1018287	ERR1018287_1	ERR1018287_2
ERR1018288	ERR1018288_1	ERR1018288_2
ERR1018289	ERR1018289_1	ERR1018289_2
ERR1018290	ERR1018290_1	ERR1018290_2
ERR1018291	ERR1018291_1	ERR1018291_2
ERR1018292	ERR1018292_1	ERR1018292_2
ERR1018293	ERR1018293_1	ERR1018293_2
ERR1018294	ERR1018294_1	ERR1018294_2
ERR1018295	ERR1018295_1	ERR1018295_2
ERR1018296	ERR1018296_1	ERR1018296_2
ERR1018297	ERR1018297_1	ERR1018297_2
ERR1018298	ERR1018298_1	ERR1018298_2
ERR1018299	ERR1018299_1	ERR1018299_2
ERR1018300	ERR1018300_1	ERR1018300_2
ERR1018301	ERR1018301_1	ERR1018301_2
ERR1018302	ERR1018302_1	ERR1018302_2
ERR1018303	ERR1018303_1	ERR1018303_2
ERR1018304	ERR1018304_1	ERR1018304_2
ERR1018305	ERR1018305_1	ERR1018305_2
ERR1018306	ERR1018306_1	ERR1018306_2
ERR1018307	ERR1018307_1	ERR1018307_2
ERR1018308	ERR1018308_1	ERR1018308_2
ERR1018309	ERR1018309_1	ERR1018309_2
ERR1018310	ERR1018310_1	ERR1018310_2
ERR1018311	ERR1018311_1	ERR1018311_2
ERR1018312	ERR1018312_1	ERR1018312_2
ERR1110279	ERR1110279_1	ERR1110279_2
ERR1110294	ERR1110294_1	
ERR1110295	ERR1110295_1	
ERR1110296	ERR1110296_1	
ERR1110297	ERR1110297_1	ERR1110297_2
ERR1110298	ERR1110298_1	ERR1110298_2
ERR1110299	ERR1110299_1	ERR1110299_2
ERR1110300	ERR1110300_1	ERR1110300_2
ERR1110301	ERR1110301_1	ERR1110301_2
ERR1110302	ERR1110302_1	ERR1110302_2
ERR1110303	ERR1110303_1	ERR1110303_2
ERR1110304	ERR1110304_1	ERR1110304_2
ERR1110305	ERR1110305_1	ERR1110305_2
ERR1110306	ERR1110306_1	ERR1110306_2
ERR1110307	ERR1110307_1	ERR1110307_2
ERR1110308	ERR1110308_1	ERR1110308_2
ERR1110309	ERR1110309_1	ERR1110309_2
ERR1110310	ERR1110310_1	ERR1110310_2
ERR1110311	ERR1110311_1	ERR1110311_2
ERR1110312	ERR1110312_1	ERR1110312_2
ERR1110313	ERR1110313_1	ERR1110313_2
ERR1110314	ERR1110314_1	ERR1110314_2
ERR1110315	ERR1110315_1	ERR1110315_2
ERR1110316	ERR1110316_1	ERR1110316_2
ERR1110317	ERR1110317_1	ERR1110317_2
ERR1110318	ERR1110318_1	ERR1110318_2
ERR1110319	ERR1110319_1	ERR1110319_2
ERR1110320	ERR1110320_1	ERR1110320_2
ERR1110321	ERR1110321_1	ERR1110321_2
ERR1110322	ERR1110322_1	ERR1110322_2
ERR1110323	ERR1110323_1	ERR1110323_2
ERR1110324	ERR1110324_1	ERR1110324_2
ERR1110325	ERR1110325_1	ERR1110325_2
ERR1110326	ERR1110326_1	ERR1110326_2
ERR1110327	ERR1110327_1	ERR1110327_2
ERR1110328	ERR1110328_1	ERR1110328_2
ERR1110329	ERR1110329_1	ERR1110329_2
ERR1110330	ERR1110330_1	ERR1110330_2
ERR1110331	ERR1110331_1	ERR1110331_2
ERR1110332	ERR1110332_1	ERR1110332_2
ERR1110333	ERR1110333_1	ERR1110333_2
ERR1110334	ERR1110334_1	ERR1110334_2
ERR1110335	ERR1110335_1	ERR1110335_2
ERR1110336	ERR1110336_1	ERR1110336_2
ERR1110337	ERR1110337_1	ERR1110337_2
ERR1110338	ERR1110338_1	ERR1110338_2
ERR1110339	ERR1110339_1	ERR1110339_2
ERR1110340	ERR1110340_1	ERR1110340_2
ERR1110341	ERR1110341_1	ERR1110341_2
ERR1110342	ERR1110342_1	ERR1110342_2
ERR1110343	ERR1110343_1	ERR1110343_2
ERR1110344	ERR1110344_1	ERR1110344_2
ERR1110345	ERR1110345_1	ERR1110345_2
ERR1110346	ERR1110346_1	ERR1110346_2
ERR1110347	ERR1110347_1	ERR1110347_2
ERR1110348	ERR1110348_1	ERR1110348_2
ERR1110349	ERR1110349_1	ERR1110349_2
ERR1110350	ERR1110350_1	ERR1110350_2
ERR1110351	ERR1110351_1	ERR1110351_2
ERR1110352	ERR1110352_1	ERR1110352_2
ERR1110353	ERR1110353_1	ERR1110353_2
ERR1110354	ERR1110354_1	ERR1110354_2
ERR1110355	ERR1110355_1	ERR1110355_2
ERR1110356	ERR1110356_1	ERR1110356_2
ERR1110357	ERR1110357_1	ERR1110357_2
ERR1110358	ERR1110358_1	ERR1110358_2
ERR1110359	ERR1110359_1	ERR1110359_2
ERR1110360	ERR1110360_1	ERR1110360_2
ERR1110361	ERR1110361_1	ERR1110361_2
ERR1110362	ERR1110362_1	ERR1110362_2
ERR1110363	ERR1110363_1	ERR1110363_2
ERR1110364	ERR1110364_1	ERR1110364_2
ERR1110365	ERR1110365_1	ERR1110365_2
ERR1110366	ERR1110366_1	ERR1110366_2
ERR1110433	ERR1110433_1	ERR1110433_2
ERR1110434	ERR1110434_1	ERR1110434_2
ERR1110435	ERR1110435_1	ERR1110435_2
ERR1110436	ERR1110436_1	ERR1110436_2
ERR1110437	ERR1110437_1	ERR1110437_2
ERR1110438	ERR1110438_1	ERR1110438_2
ERR1110439	ERR1110439_1	ERR1110439_2
ERR1110440	ERR1110440_1	ERR1110440_2
ERR1110441	ERR1110441_1	ERR1110441_2
ERR1110442	ERR1110442_1	ERR1110442_2
ERR1110443	ERR1110443_1	ERR1110443_2
ERR1110444	ERR1110444_1	ERR1110444_2
ERR1110445	ERR1110445_1	ERR1110445_2
