library_id	library_group
ERR1018185	core
ERR1018186	core
ERR1018187	core
ERR1018188	core
ERR1018189	core
ERR1018190	core
ERR1018191	core
ERR1018192	core
ERR1018193	core
ERR1018194	core
ERR1018195	core
ERR1018196	core
ERR1018197	core
ERR1018198	core
ERR1018199	core
ERR1018200	core
ERR1018201	core
ERR1018202	core
ERR1018203	core
ERR1018204	core
ERR1018205	core
ERR1018206	core
ERR1018207	core
ERR1018208	core
ERR1018209	core
ERR1018210	core
ERR1018211	core
ERR1018212	core
ERR1018213	core
ERR1018214	core
ERR1018215	core
ERR1018216	core
ERR1018217	core
ERR1018218	core
ERR1018219	core
ERR1018220	core
ERR1018221	core
ERR1018222	core
ERR1018223	core
ERR1018224	core
ERR1018225	core
ERR1018226	core
ERR1018227	core
ERR1018228	core
ERR1018229	core
ERR1018230	core
ERR1018231	core
ERR1018232	core
ERR1018233	core
ERR1018234	core
ERR1018235	core
ERR1018236	core
ERR1018237	core
ERR1018238	core
ERR1018239	core
ERR1018240	core
ERR1018241	core
ERR1018242	core
ERR1018243	core
ERR1018244	core
ERR1018245	core
ERR1018246	core
ERR1018247	core
ERR1018248	core
ERR1018249	core
ERR1018250	core
ERR1018251	core
ERR1018252	core
ERR1018253	core
ERR1018254	core
ERR1018255	core
ERR1018256	core
ERR1018257	core
ERR1018258	core
ERR1018259	core
ERR1018260	core
ERR1018261	core
ERR1018262	core
ERR1018263	core
ERR1018264	core
ERR1018265	core
ERR1018266	core
ERR1018267	core
ERR1018268	core
ERR1018269	core
ERR1018270	core
ERR1018271	core
ERR1018272	core
ERR1018273	core
ERR1018274	core
ERR1018275	core
ERR1018276	core
ERR1018277	core
ERR1018278	core
ERR1018279	core
ERR1018280	core
ERR1018281	core
ERR1018282	core
ERR1018283	core
ERR1018284	core
ERR1018285	core
ERR1018286	core
ERR1018287	core
ERR1018288	core
ERR1018289	core
ERR1018290	core
ERR1018291	core
ERR1018292	core
ERR1018293	core
ERR1018294	core
ERR1018295	core
ERR1018296	core
ERR1018297	core
ERR1018298	core
ERR1018299	core
ERR1018300	core
ERR1018301	core
ERR1018302	core
ERR1018303	core
ERR1018304	core
ERR1018305	core
ERR1018306	core
ERR1018307	core
ERR1018308	core
ERR1018309	core
ERR1018310	core
ERR1018311	core
ERR1018312	core
ERR1110279	core
ERR1110297	core
ERR1110298	core
ERR1110299	core
ERR1110300	core
ERR1110301	core
ERR1110302	core
ERR1110303	core
ERR1110304	core
ERR1110305	core
ERR1110306	core
ERR1110307	core
ERR1110308	core
ERR1110309	core
ERR1110310	core
ERR1110311	core
ERR1110312	core
ERR1110313	core
ERR1110314	core
ERR1110315	core
ERR1110316	core
ERR1110317	core
ERR1110318	core
ERR1110319	core
ERR1110320	core
ERR1110321	core
ERR1110322	core
ERR1110323	core
ERR1110324	core
ERR1110325	core
ERR1110326	core
ERR1110327	core
ERR1110328	core
ERR1110329	core
ERR1110330	core
ERR1110331	core
ERR1110332	core
ERR1110333	core
ERR1110334	core
ERR1110335	core
ERR1110336	core
ERR1110337	core
ERR1110338	core
ERR1110339	core
ERR1110340	core
ERR1110341	core
ERR1110342	core
ERR1110343	core
ERR1110344	core
ERR1110345	core
ERR1110346	core
ERR1110347	core
ERR1110348	core
ERR1110349	core
ERR1110350	core
ERR1110351	core
ERR1110352	core
ERR1110353	core
ERR1110354	core
ERR1110355	core
ERR1110356	core
ERR1110357	core
ERR1110358	core
ERR1110359	core
ERR1110360	core
ERR1110361	core
ERR1110362	core
ERR1110363	core
ERR1110364	core
ERR1110365	core
ERR1110366	core
ERR1110433	core
